x,y,source,highlight
-0.27050337,-0.05961359,client.py,0
-0.20651506,-0.107717894,client.py,0
-0.18588215,-0.18183328,client.py,0
-0.32640925,-0.050559312,client.py,0
-0.22685897,-0.056395058,client.py,0
-0.16283552,-0.11806856,client.py,0
-0.30950952,-0.017661642,client.py,0
-0.0411003,-0.20236538,client.py,0
-0.027932318,-0.15918691,client.py,0
0.082204096,-0.11261604,client.py,0
-0.16682449,-0.17893475,client.py,0
-0.20854883,-0.092648946,client.py,0
-0.21196918,-0.15950197,client.py,0
-0.15789711,-0.1327721,client.py,0
-0.12240571,-0.13506313,client.py,0
-0.18479064,-0.13822667,client.py,0
-0.16940562,-0.11964331,client.py,0
-0.12731113,-0.0827807,client.py,0
-0.15772586,0.013557155,client.py,0
-0.2060915,-0.12515506,client.py,0
-0.017668767,0.19309746,client.py,0
0.060815744,0.21537644,client.py,0
-0.14118443,0.25478262,client.py,0
0.082422085,0.2495827,client.py,0
0.070562296,0.21671237,client.py,0
-0.10897133,0.2612383,client.py,0
0.07382915,0.2620919,client.py,0
0.07382854,0.20914246,client.py,0
-0.12792496,0.2770395,client.py,0
0.089046344,0.20412537,client.py,0
0.09016409,0.19073348,client.py,0
0.028377451,0.14090633,client.py,0
0.07694278,0.27780756,client.py,0
0.06127636,0.2784924,client.py,0
-0.11169595,0.30151019,client.py,0
0.06835549,0.14119266,client.py,0
0.0868169,0.13619886,client.py,0
-0.14367944,0.09906801,client.py,0
-0.007414296,0.13688405,client.py,0
0.048993953,0.19649148,client.py,0
0.008987354,0.21291438,client.py,0
-0.22667883,-0.2572729,client.py,0
-0.02439326,-0.04815651,client.py,0
0.076953955,0.002797289,client.py,0
0.061273225,0.099776,client.py,0
-0.13702841,-0.17867248,client.py,0
-0.17901051,-0.18871526,client.py,0
-0.10157274,-0.000738756,client.py,0
-0.009810965,-0.28543684,client.py,1
-0.0835642,-0.19002086,client.py,0
-0.12528782,-0.2318006,client.py,0
-0.08855239,-0.2406519,client.py,0
-0.1718051,-0.13033317,client.py,0
0.15549965,-0.18727863,client.py,0
0.048651434,-0.24714088,client.py,0
-0.08263091,-0.15113768,client.py,0
0.13808726,-0.17335469,client.py,0
0.048651434,-0.24714084,client.py,0
-0.07658034,-0.15081328,client.py,0
0.09136056,-0.1520179,client.py,0
0.1063197,-0.2012961,client.py,0
0.122044146,-0.203157,client.py,1
-0.049552374,-0.29632995,client.py,0
-0.09252853,-0.16080737,client.py,0
0.04074974,-0.2098148,client.py,0
-0.016526846,-0.22074673,client.py,0
0.08188708,-0.22259472,client.py,0
0.037066802,-0.21339326,client.py,0
0.070164435,-0.18709812,client.py,0
0.11606174,-0.25386044,client.py,1
0.13668516,-0.061225988,client.py,0
0.15849513,-0.297866,client.py,0
-0.06045775,-0.15729931,client.py,0
0.102917604,-0.25209835,client.py,0
0.039857294,-0.21943764,client.py,0
0.13465077,-0.059083294,client.py,0
-0.09639018,-0.3151728,client.py,0
0.30956593,-0.15998691,client.py,0
0.5307954,-0.059051055,client.py,0
0.521572,-0.022557804,client.py,0
0.5191048,-0.02085226,client.py,0
0.18289964,-0.15387335,client.py,0
-0.026053675,-0.14805074,client.py,0
0.3206067,-0.20152275,client.py,1
0.44844675,-0.06672981,client.py,0
0.521572,-0.022557804,client.py,0
0.5191048,-0.02085226,client.py,0
0.19603665,-0.20806497,client.py,0
-0.006885508,-0.18771596,client.py,0
0.2999366,-0.20435958,client.py,0
0.5307952,-0.059051048,client.py,0
0.521572,-0.022557804,client.py,0
0.5191048,-0.02085226,client.py,0
0.20184423,-0.16431473,client.py,0
0.012187236,-0.18466654,client.py,0
0.31373,-0.15538608,client.py,0
0.5307952,-0.059051048,client.py,0
0.521572,-0.022557804,client.py,0
0.51910484,-0.020852262,client.py,0
0.19094843,-0.13857906,client.py,0
4.746437e-05,-0.14824077,client.py,0
0.28309217,-0.15085647,client.py,0
0.5307952,-0.059051048,client.py,0
0.521572,-0.022557804,client.py,0
0.5191048,-0.02085226,client.py,0
0.13186236,-0.1261553,client.py,0
-0.010638323,-0.12884982,client.py,0
0.27693653,-0.20550784,client.py,1
0.5307954,-0.059051055,client.py,0
0.52157193,-0.022557788,client.py,0
0.5191048,-0.02085226,client.py,0
0.13522321,-0.15419641,client.py,0
0.007891775,-0.17481354,client.py,0
0.2457937,-0.15157856,client.py,0
0.19175793,-0.03324558,client.py,0
0.24560761,-0.18067884,client.py,0
0.24303505,-0.17145897,client.py,0
0.23848234,-0.09381495,client.py,0
0.24590947,-0.15806365,client.py,0
0.1730503,-0.2059775,client.py,0
0.21659437,-0.09396896,client.py,0
-0.043306913,-0.29419988,client.py,0
0.17296334,-0.23093711,client.py,0
0.14335816,-0.2173277,client.py,0
-0.050817985,-0.28708902,client.py,0
0.041787867,-0.21222205,client.py,0
-0.051909264,-0.26770142,client.py,0
